순번,자치구,구역명,위치,,사업방법,,,사업추진단계,기존 가구수(멸실량),추진단계,,,,,,,,,,,,공급형태별 건립세대수 (공급량),,
,,,,,,,,,,,,,,,,,,,,,,총합계,분양,임대
,,,,,,,,,,"구역지정
(아파트 지구는 정비계획 수립)",,추진위원회,"조합설립인가
(사업시행자 지정일)",건축심의,사업시행인가,,"관리처분
계획인가",,이주,,착공,,,
,,,위치1(지번주소),위치2(도로명주소),공공/민간,일반/재촉지구,사업유형,,,최초,변경(최종),,,,최초,변경(최종),최초,변경(최종),이주시작일,이주종료일,,,,
37,중구,서소문-10,서소문 58-7,서소문로 106,민간,일반,도시정비형 재개발,착공,0,1973-09-06,2021-12-30,,2022-09-21,2024-08-20,2022-09-21,2024-11-15,2024-03-20,2024-03-20,,,2025-01-15,0,0,0
38,중구,"서소문-11,12",서소문동 58-9,서소문로 100,민간,일반,도시정비형 재개발,착공,0,1973-09-06,2023-09-14,,2023-02-08,2024-04-18,2023-02-08,2024-11-15,2025-03-12,2025-03-12,,,2025-03-31,0,0,0
39,중구,"세운3-2,3",입정동 175-1,,민간,재촉,도시정비형 재개발,착공,0,2009-03-19,2023-12-07,,2017-04-26,2024-03-26,2017-04-26,2025-02-12,2021-07-07,2025-06-25,,,2025-03-20,0,0,0
40,중구,"세운3-8,9,10",을지로3가 227,을지로15길 10,민간,재촉,도시정비형 재개발,사업시행,2,2009-03-19,2023-12-07,,2021-11-17,2024-03-26,2021-11-17,2025-06-18,,,,,,0,0,0
41,중구,"세운5-1,3",산림동 190-3,을지로19길 28,민간,재촉,도시정비형 재개발,관리처분,0,2009-03-19,2023-10-26,,2020-09-16,2024-02-13,2020-09-16,2024-06-19,2024-12-13,2024-12-13,2025-03-01,2025-08-31,,0,0,0
42,중구,세운6-1-3,인현동1가 31,을지로20길 24-10,민간,재촉,도시정비형 재개발,추진위,0,2006-10-26,2025-07-24,2025-10-01,,,,,,,,,,0,0,0
43,중구,세운6-3-3,을지로4가 310-2,을지로22길 11,민간,재촉,도시정비형 재개발,착공,0,2009-03-19,2025-04-24,,2017-11-17,2024-03-26,2017-11-17,2025-06-25,2020-10-21,2021-05-20,,,2021-07-02,0,0,0
44,중구,"세운6-4-22,23",충무로4가 108-21,퇴계로 223,민간,재촉,도시정비형 재개발,사업시행,0,2009-03-19,2024-01-25,,2022-09-23,2021-09-15,2022-09-23,2022-09-23,,,,,,0,0,0
45,중구,수표,입정동 237,충무로13길 7,민간,일반,도시정비형 재개발,착공,0,2010-08-26,2025-02-19,,2022-07-06,2024-10-31,2020-11-18,2025-04-25,2022-06-29,2023-11-01,,,2024-07-05,0,0,0
46,중구,신당10,신당동 236-100,다산로33라길 32-7,민간,일반,주택정비형 재개발,조합설립,899,2023-06-22,2023-06-22,,2023-12-27,,,,,,,,,1423,1107,316
47,중구,신당8,청구동 321-1,다산로28길 22,민간,일반,주택정비형 재개발,관리처분,1182,2007-05-25,2023-06-07,2004-12-30,2016-12-12,2017-12-19,2018-12-05,2023-07-26,2024-05-31,2024-05-31,2024-11-01,2025-12-31,,1159,983,176
48,중구,신당9,신당동 432-1008,다산로5길 6-10 ,민간,일반,주택정비형 재개발,건축심의,261,2010-11-04,2022-11-09,2005-01-24,2018-04-20,2020-11-18,,,,,,,,315,315,0
49,중구,"양동-11,12",남대문로5가 580,,민간,일반,도시정비형 재개발,관리처분,173,1978-09-26,2024-08-29,,2023-03-22,2025-01-16,2023-03-22,2025-06-30,2025-10-22,2022-07-20,,,,0,0,0
50,중구,"양동-4-2,7",남대문로5가 395,소월로 50,민간,일반,도시정비형 재개발,관리처분,0,1978-09-26,2024-12-18,,2024-12-24,2024-07-16,2024-12-24,2024-12-24,2025-03-19,2025-03-19,2025-02-03,2025-04-11,,0,0,0
51,중구,"양동-8-1,6",남대문로5가 526,퇴계로 18,민간,일반,도시정비형 재개발,관리처분,0,1978-09-26,2025-04-23,,,2024-12-23,2025-04-30,2025-04-30,2025-10-24,2022-07-20,,,,0,0,0
52,중구,"을지로2가-1,3,6,18",삼각동 66-1,청계천로 54,민간,일반,도시정비형 재개발,구역지정,0,1977-06-29,2024-12-05,,,,,,,,,,,0,0,0
53,중구,"을지로3가-1,2",수표동 56-9,삼일대로12길 15,민간,일반,도시정비형 재개발,착공,0,2016-10-06,2023-07-20,,2023-09-27,2023-07-11,2023-09-27,2025-10-01,2024-03-11,2024-03-11,,,2025-08-22,0,0,0
54,중구,을지로3가-10,을지로3가 95-12,을지로11길 12,민간,일반,도시정비형 재개발,관리처분,0,2016-10-06,2024-09-25,,2024-02-28,2023-11-13,2024-02-28,2024-02-28,2024-09-27,2024-09-27,,,,0,0,0
55,중구,을지로3가-12,을지로3가 65-14,충무로9길 17,민간,일반,도시정비형 재개발,착공,0,2016-10-06,2021-01-28,,2021-09-01,2021-04-28,2021-09-01,2025-01-02,2022-06-15,2022-06-15,,,2023-09-27,0,0,0
56,중구,을지로3가-6,수표동 35-10,수표로 66,민간,일반,도시정비형 재개발,착공,0,2016-10-06,2020-11-26,,2021-06-16,2020-12-16,2021-03-03,2021-06-16,2022-04-06,2022-04-06,,,2023-04-06,0,0,0
57,중구,을지로3가-9,을지로3가 5-1,충무로9길 29,민간,일반,도시정비형 재개발,착공,0,2016-10-06,2024-08-16,,2022-12-21,2024-10-11,2022-12-21,2025-02-12,2023-09-13,2025-03-26,,,2025-04-15,0,0,0
58,중구,중림동398,중림동 398,서소문로 8,민간,일반,주택정비형 재개발,조합설립,280,2023-09-14,2023-09-14,,2024-12-19,,,,,,,,,791,600,191
59,용산구,한강맨션아파트,이촌동 300-23,이촌로 248,민간,일반,아파트지구 재건축,관리처분,660,2018-03-15,2023-09-07,2003-12-26,2017-06-05,2019-09-10,2021-09-24,,2022-12-02,,,,,1441,1303,138
60,용산구,후암1,후암동 142-4,한강대로98나길 26,민간,일반,단독주택 재건축,추진위,730,,,2007-04-23,,,,,,,,,,0,0,0
61,용산구,한강삼익아파트,이촌동 300-301,이촌로 264,민간,일반,아파트지구 재건축,사업시행,252,2018-03-15,2023-04-28,,2003-05-10,2019-03-12,2020-06-05,,,,,,,329,277,52
62,용산구,왕궁아파트,이촌동 300-11,이촌로88길 15,민간,일반,아파트지구 재건축,조합설립,250,2023-09-07,2024-11-14,2006-05-23,2008-12-09,,,,,,,,,318,260,58
63,용산구,청화아파트,이태원동 22-2,장문로 27,민간,일반,공동주택 재건축,추진위,578,,,2009-12-30,,,,,,,,,,0,0,0
64,용산구,이촌1,"이촌동 199,203,206","이촌로80-8,60, 이촌로14길 11-22",민간,일반,단독주택 재건축,추진위,520,,,2007-02-23,,,,,,,,,,0,0,0
65,용산구,신동아아파트,서빙고동 241-21,서빙고로 241-21 일대,민간,일반,아파트지구 재건축,조합설립,1326,,,2017-10-13,2021-01-07,,,,,,,,,0,0,0
66,용산구,중산시범아파트,이촌동 211-2,이촌로2가길 36,민간,일반,공동주택 재건축,추진위,266,,2016-01-12,2005-07-12,,,,,,,,,,0,0,0
67,용산구,강변강서아파트,"이촌동 193-3,5","이촌로 104, 이촌로34길 10",공공,일반,아파트지구 재건축,조합설립,213,,1976-08-21,1993-04-12,1993-04-12,,,,,,,,,0,0,0
68,용산구,동자동2,동자동 15-1,한강대로 392,민간,일반,도시정비형 재개발,관리처분,15,1978-11-30,2025-02-27,,,,1985-12-26,,2020-09-25,,,,,0,0,0
69,용산구,신용산역북측1,한강로2가 2-116,한강로2가 2-116,민간,일반,도시정비형 재개발,사업시행,71,2015-07-01,2023-01-20,,,,2021-12-31,,,,,,,324,295,29
70,용산구,신용산역북측2,한강로2가 2-194,새창로 209,민간,일반,도시정비형 재개발,사업시행,75,2015-07-01,2023-11-10,,,,2020-12-10,,,,,,,340,314,26
71,용산구,정비창전면1,한강로3가 40-641,한강대로15길 19-17,민간,일반,도시정비형 재개발,조합설립,619,2018-04-05,,2018-11-21,2021-08-30,,,,,,,,,777,678,99
72,용산구,용산역전면1-2,한강로3가 40-712,한강대로21나길 40,민간,일반,도시정비형 재개발,추진위,0,2006-01-19,,2018-07-13,,,,,,,,,,0,0,0
73,용산구,정비창전면3,한강로3가 40-19,한강대로 23,민간,일반,도시정비형 재개발,조합설립,20,2018-04-05,,,2022-08-10,,,,,,,,,128,128,0
74,용산구,남영동업무지구2,갈월동 92,한강대로 273 일대,민간,일반,도시정비형 재개발,조합설립,32,2022-08-18,,2022-10-19,2023-04-14,,,,,,,,,565,456,109
75,용산구,산호아파트,원효로4가 118-16,원효로 66,민간,일반,아파트지구 재건축,사업시행,554,2020-01-09,2022-06-24,2005-03-11,2017-08-31,2021-04-15,2024-03-29,,,,,,,647,574,73
76,용산구,서계통합구역,서계동 33번지 일대,,민간,일반,주택정비형 재개발,추진위,2892,2025-04-10,,2025-11-28,,,,,,,,,,2691,2103,588
77,용산구,청파1구역,청파동2가 11-1,청파로57길 23,민간,일반,주택정비형 재개발,조합설립,640,2022-07-14,,2005-08-12,2023-02-17,,,,,,,,,697,581,116
78,용산구,청파2구역,청파동1가 89-18,청파로71나길 23-4,민간,일반,주택정비형 재개발,구역지정,1408,2024-10-31,,,,,,,,,,,,1905,1498,407
79,용산구,한강로,한강로1가 158번지 일대,,민간,일반,도시정비형 재개발,건축심의,468,2011-10-13,2011-10-13,2012-05-10,2012-10-18,2013-10-15,,,,,,,,406,362,44
80,용산구,한남2구역,보광동 272-3,우사단로4길 4-5,민간,재촉,주택정비형 재개발,관리처분,1799,2009-10-01,2009-10-01,2010-06-28,2012-06-01,2020-08-11,2021-11-26,,2025-07-25,,,,,1537,1299,238
81,용산구,한남3구역,"한남동 686
","이태원로 222-32
",민간,재촉,주택정비형 재개발,관리처분,8373,2009-10-01,2009-10-01,2010-08-01,2012-09-04,2017-10-24,2019-03-29,2024-09-13,2023-06-23,2023-09-15,2023-10-30,2025-07-01,,5970,4950,1020
82,용산구,한남4구역,보광동 360,장문로15가길 7-16,민간,재촉,주택정비형 재개발,사업시행,2588,2009-10-01,2009-10-01,2010-09-29,2015-01-06,2024-05-28,2025-11-14,,,,,,,2331,1981,350
83,용산구,한남5구역,동빙고동 60,서빙고로75가길 5-19,민간,재촉,주택정비형 재개발,건축심의,2635,2009-10-01,2009-10-01,2010-06-15,2012-08-22,2024-04-09,,,,,,,,2592,2202,390
84,성동구,성수전략1,성수동1가 72-10,,민간,일반,주택정비형 재개발,조합설립,3121,2009-04-23,2011-02-17,2009-10-27,2017-07-18,,,,,,,,,3014,2385,629
85,성동구,성수전략2,성수동2가 506,,민간,일반,주택정비형 재개발,조합설립,2339,2009-04-23,2011-02-17,2009-10-27,2020-03-06,,,,,,,,,2609,2061,548
86,성동구,성수전략3,성수동2가 572-7,,민간,일반,주택정비형 재개발,조합설립,2005,2009-04-23,2011-02-17,2009-10-27,2019-02-27,,,,,,,,,2213,1727,486
87,성동구,성수전략4,성수동2가 219-4,,민간,일반,주택정비형 재개발,조합설립,1602,2009-04-23,2011-02-17,2009-10-22,2016-07-25,,,,,,,,,1439,1172,267
88,성동구,용답동,용답동 108-1,,민간,일반,주택정비형 재개발,착공,1844,2007-09-27,2022-12-01,2006-07-30,2007-11-16,2015-08-01,2017-01-12,2024-05-13,2018-07-06,2024-04-04,,,2023-10-24,1670,1365,305
89,성동구,금호16,금호동2가 501-31,,민간,일반,주택정비형 재개발,관리처분,483,2007-07-12,2007-07-12,2005-09-30,2008-04-21,2008-02-25,2009-12-17,2024-01-04,2024-04-11,,2024-08-29,2025-08-30,,595,475,120
90,성동구,응봉1,응봉동 193-162,독서당로60가길 6-1,민간,일반,단독주택 재건축,사업시행,621,2011-10-27,2023-03-23,2006-08-29,2016-04-22,2021-07-27,2023-04-20,2023-04-20,,,,,,525,525,0
91,성동구,한남하이츠,옥수동 220-1,,민간,일반,공동주택 재건축,사업시행,535,2017-02-16,2017-02-16,2003-12-26,2018-05-18,2019-05-28,2020-05-21,2020-05-21,,,,,,790,787,3
92,성동구,장미아파트,성수동1가 656-421,왕십리로 66-15,민간,일반,공동주택 재건축,착공,173,2016-09-08,2021-01-07,2004-01-26,2019-03-14,2020-08-04,2021-07-22,2024-03-07,2022-09-29,2024-11-28,,,2024-10-23,287,260,27
93,성동구,장안평중고차매매센터,용답동 234,,민간,일반,도시정비형 재개발,건축심의,0,2018-01-11,2018-01-11,2018-05-15,2020-03-23,2023-02-14,,,,,,,,0,0,0
94,성동구,성수1,성수동1가 656-1267,,민간,일반,단독주택 재건축,건축심의,143,2008-06-05,2022-10-20,2004-01-15,2020-08-06,2021-03-09,,,,,,,,322,272,50
95,성동구,금호21구역,금호동3가 1번지 일대,무수막길 31,민간,일반,주택정비형 재개발,조합설립,1741,2023-09-07,2023-09-07,,2024-10-18,,,,,,,,,1219,999,220
96,성동구,마장동382번지일대,마장동 382,살곶이2길 37,민간,일반,주택정비형 재개발,구역지정,125,2025-08-28,,,,,,,,,,,,1000,1000,0
97,성동구,마장세림아파트,마장동 784,마장로42길 16,민간,일반,공동주택 재건축,조합설립,841,2022-06-23,2022-06-23,2023-02-20,2023-12-22,,,,,,,,,996,915,81
98,성동구,왕십리역세권4,행당동248번지,,민간,일반,도시정비형 재개발,추진위,79,2024-02-15,2024-02-15,2024-03-25,,,,,,,,,,631,477,154
99,광진구,신향빌라,중곡4동 18-24,용마산로24길 13,민간,일반,공동주택 재건축,구역지정,156,2022-06-02,2022-06-02,,,,,,,,,,,339,322,17
100,광진구,자양4동A구역주택재개발사업,자양4동 57-90번지 일대,능동로3마길 10-3,민간,일반,주택정비형 재개발,구역지정,1445,2025-07-03,,,,,,,,,,,,2999,2447,552
101,광진구,자양5재정비촉진구역,자양동 680-81,자양로 72,민간,재촉,도시정비형 재개발,구역지정,224,2018-01-18,2018-01-18,,,,,,,,,,,840,538,302
102,광진구,자양7,자양동 464-40,자양번영로3길 38-14,민간,일반,단독주택 재건축,조합설립,432,2018-08-30,,2008-02-05,2021-10-03,,,,,,,,,917,874,43
103,광진구,자양한양아파트,자양동 695,구의 강변로 11,민간,일반,공동주택 재건축,추진위,444,2024-05-30,,2025-04-07,,,,,,,,,,859,652,207
104,광진구,중곡아파트,중곡동 190-26,긴고랑로1길 55,공공,일반,공동주택 재건축,조합설립,276,2014-11-13,2025-10-16,2005-09-01,2022-07-19,,,,,,,,,348,306,42
105,동대문구,이문4,이문동 86-1,외대역동로34길 52,민간,재촉,주택정비형 재개발,관리처분,2629,2008-01-07,2025-04-17,2004-06-23,2017-03-16,2021-10-26,2023-02-16,,2024-04-01,,2024-11-25,2026-03-31,,3488,2778,710
106,동대문구,전농8,전농동 204,전농로17길 26 ,민간,재촉,주택정비형 재개발,건축심의,1581,2008-07-10,2025-06-05,2005-09-27,2021-12-08,2023-10-17,,,,,,,,1760,1409,351
107,동대문구,전농,전농동 494-1,서울시립대로 57,민간,재촉,도시정비형 재개발,사업시행,474,2006-03-30,2006-03-30,2005-12-26,2007-06-22,2023-09-26,2024-12-26,,,,,,,1122,932,190
108,동대문구,전농12,전농동 643-51,서울시립대로 49,민간,재촉,주택정비형 재개발,조합설립,348,2009-06-25,2009-06-25,2007-01-31,2022-01-14,,,,,,,,,297,246,51
109,동대문구,용두1-1,용두동 24-1,왕산로 138-1,민간,재촉,도시정비형 재개발,구역지정,0,2007-05-17,2007-05-17,,,,,,,,,,,0,0,0
110,동대문구,용두1-2,용두동 23-8,왕산로 142-1,민간,재촉,도시정비형 재개발,사업시행,30,2007-05-17,2007-05-17,2019-05-07,2019-10-23,2022-04-26,2022-11-23,,,,,,,243,211,32
111,동대문구,용두1-4,용두동 26-3,고산자로32길 15-9,민간,재촉,도시정비형 재개발,건축심의,32,2005-05-17,2007-05-17,,2024-06-07,2025-03-25,,,,,,,,60,60,0
112,동대문구,용두1-5,용두동 23-1,왕산로 150,민간,재촉,도시정비형 재개발,추진위,98,2005-05-17,2007-05-17,2019-11-12,,,,,,,,,,324,324,0
113,동대문구,용두1-6,용두동 14-1,왕산로 154,공공,재촉,도시정비형 재개발,건축심의,136,2005-05-17,2007-05-17,,2021-07-14,2025-06-19,,,,,,,,977,556,421
114,동대문구,청량리6,청량리동 205,홍릉로 90,민간,일반,주택정비형 재개발,사업시행,950,2008-11-13,2008-11-13,2004-08-04,2019-05-07,2022-04-22,2024-11-07,,,,,,,1493,1239,254
115,동대문구,제기4,제기동 288,홍릉로15길 11,민간,일반,주택정비형 재개발,관리처분,412,2005-12-29,2024-04-18,2006-06-20,2016-05-16,2017-09-26,2019-03-07,2025-06-12,2022-08-25,2022-08-25,2023-06-17,2024-07-01,,909,753,156
116,동대문구,제기6,제기동 120-104,고산자로52길 20,민간,일반,주택정비형 재개발,관리처분,556,2009-02-12,2018-09-27,2004-08-31,2017-12-27,2019-07-24,2020-12-24,2023-03-08,2023-11-09,,2025-06-01,2026-01-01,,423,350,73
117,동대문구,청량리7,청량리동 199,-,민간,일반,주택정비형 재개발,착공,926,2007-09-06,,2004-06-25,2007-12-26,2008-10-15,2009-04-02,2023-03-23,2020-04-23,2023-06-09,,,2022-12-29,761,627,134
118,동대문구,청량리8,청량리동 435,홍릉로12길 18,민간,일반,주택정비형 재개발,관리처분,381,2010-11-25,2023-09-07,2006-01-09,2018-07-11,2022-04-26,2024-07-11,,2025-09-25,,,,,610,460,150
119,동대문구,장안현대,장안동 95-1,한천로 244,민간,일반,공동주택 재건축,사업시행,456,2017-09-14,2022-12-01,2018-06-12,2020-07-10,2022-06-14,2024-08-13,2024-08-13,,,,,,746,641,105
120,동대문구,제기1(경동미주아파트),제기동 892-68,정릉천동로 80,민간,일반,공동주택 재건축,착공,228,2012-10-18,2018-12-27,2008-01-01,2019-05-01,2020-06-23,2021-04-01,2025-07-07,2023-04-13,,,,2025-03-31,351,306,45
121,동대문구,답십리자동자부품상가,답십리동 952,"전농로4길 62
",민간,일반,도시정비형 재개발,사업시행,0,2020-09-03,2025-01-23,2020-09-01,2021-10-01,2023-06-01,2025-04-03,,,,,,,618,478,140
122,동대문구,신설1,신설동 92-5,하정로6길 14,공공,일반,주택정비형 재개발,사업시행,121,2008-10-30,2024-08-08,,2021-07-22,2024-08-20,2025-03-20,,,,,,,299,189,110
123,동대문구,신이문역세권,이문동 168-1,신이문로24길 31,민간,일반,도시정비형 재개발,조합설립,0,2020-12-03,2024-06-13,,2024-09-12,,,,,,,,,1265,899,366
124,동대문구,용두구역6지구,용두동 52-1,천호대로 27길 73,민간,일반,도시정비형 재개발,구역지정,0,2000-02-09,,,,,,,,,,,,0,0,0
125,동대문구,용두구역7지구,용두동 53-6,왕산로길 6길 27,민간,일반,도시정비형 재개발,구역지정,0,2000-02-09,,,,,,,,,,,,0,0,0
126,동대문구,전농13,전농동 295-29,사가정로 104,민간,재촉,도시정비형 재개발,구역지정,274,2024-08-22,,,,,,,,,,,,949,795,154
127,동대문구,전농9,전농동 103-236,전농로37길 39,공공,일반,주택정비형 재개발,조합설립,884,2023-06-29,2023-06-29,2007-07-04,2023-07-13,,,,,,,,,1159,920,239
128,동대문구,청량리미주아파트,청량리동 235-1,청량리동 235-1,민간,일반,공동주택 재건축,추진위,1089,2023-08-03,2023-08-03,2024-10-07,,,,,,,,,,1370,1208,162
129,동대문구,청량리9,청량리동 19,왕산로51길 13,민간,일반,주택정비형 재개발,구역지정,337,2025-06-26,,,,,,,,,,,,843,680,163
130,동대문구,휘경5,휘경동 43-8,한천로47길 2,민간,일반,주택정비형 재개발,구역지정,459,2023-06-22,,,,,,,,,,,,634,594,40
131,중랑구,상봉7,상봉동 88,상봉로25가길 27,민간,재촉,도시정비형 재개발,사업시행,349,2009-08-13,2020-07-16,2009-09-08,2011-12-01,2023-07-25,2015-11-19,,,,,,,841,719,122
132,중랑구,상봉9,상봉동 83-1,상봉로 117,민간,재촉,도시정비형 재개발,착공,2,2015-04-16,2021-07-29,,,2022-04-12,2022-12-29,2024-11-21,2024-05-23,,,,2024-12-09,999,802,197
133,중랑구,중화3,중화동 303-9,동일로 775-11,민간,재촉,도시정비형 재개발,착공,114,2017-11-30,2022-12-22,,,2018-05-29,2018-12-06,2023-12-28,2020-07-24,,,,2025-12-08,176,158,18
134,중랑구,망우1(염광아파트),망우본동 178-1,망우로81길 27,공공,일반,공동주택 재건축,조합설립,367,2011-07-28,2025-03-20,2003-12-30,2012-05-29,,,,,,,,,581,539,42
